workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,South Korea,KOR,2010,foreign_born,S2 UN DESA IMS2024,566098.0,566098.0,0.0,0.0,EXACT,
FILE2,Korea (South),KOR,2010,foreign_born,World Bank SM.POP.TOTL,566098.0,566098.0,0.0,0.0,EXACT,
FILE1,South Korea,KOR,2015,foreign_born,S2 UN DESA IMS2024,1312172.0,1312172.0,0.0,0.0,EXACT,
FILE2,Korea (South),KOR,2015,foreign_born,World Bank SM.POP.TOTL,1312172.0,1312172.0,0.0,0.0,EXACT,
FILE1,South Korea,KOR,2020,foreign_born,S2 UN DESA IMS2024,1723389.0,1723389.0,0.0,0.0,EXACT,
FILE2,Korea (South),KOR,2020,foreign_born,World Bank SM.POP.TOTL,1723389.0,1723389.0,0.0,0.0,EXACT,
FILE2,Korea (South),KOR,2010,foreign_nationals,OECD IMD KOR_B15,1010020.0,1010020.0,0.0,0.0,EXACT,ok
FILE2,Korea (South),KOR,2011,foreign_nationals,OECD IMD KOR_B15,1088638.0,1088638.0,0.0,0.0,EXACT,ok
FILE2,Korea (South),KOR,2012,foreign_nationals,OECD IMD KOR_B15,1200079.0,1200079.0,0.0,0.0,EXACT,ok
FILE2,Korea (South),KOR,2013,foreign_nationals,OECD IMD KOR_B15,1202270.0,1202270.0,0.0,0.0,EXACT,ok
FILE2,Korea (South),KOR,2014,foreign_nationals,OECD IMD KOR_B15,1303777.0,1303777.0,0.0,0.0,EXACT,ok
FILE2,Korea (South),KOR,2015,foreign_nationals,OECD IMD KOR_B15,1488882.0,1488882.0,0.0,0.0,EXACT,ok
FILE2,Korea (South),KOR,2016,foreign_nationals,OECD IMD KOR_B15,1594768.0,1594768.0,0.0,0.0,EXACT,ok
FILE2,Korea (South),KOR,2017,foreign_nationals,OECD IMD KOR_B15,1662759.0,1662759.0,0.0,0.0,EXACT,ok
FILE2,Korea (South),KOR,2018,foreign_nationals,OECD IMD KOR_B15,1749563.0,1749563.0,0.0,0.0,EXACT,ok
