workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,New Zealand,NZL,2010,foreign_born,S2 UN DESA IMS2024,956982.0,956982.0,0.0,0.0,EXACT,
FILE2,New Zealand,NZL,2010,foreign_born,World Bank SM.POP.TOTL,956982.0,956982.0,0.0,0.0,EXACT,
FILE2,New Zealand,NZL,2013,foreign_born,OECD IMD NZL_B14,1001772.0,1001772.0,0.0,0.0,EXACT,ok
FILE1,New Zealand,NZL,2015,foreign_born,S2 UN DESA IMS2024,1132201.0,1132201.0,0.0,0.0,EXACT,
FILE2,New Zealand,NZL,2015,foreign_born,World Bank SM.POP.TOTL,1132201.0,1132201.0,0.0,0.0,EXACT,
FILE2,New Zealand,NZL,2018,foreign_born,OECD IMD NZL_B14,1329633.0,1329633.0,0.0,0.0,EXACT,ok
FILE1,New Zealand,NZL,2020,foreign_born,S2 UN DESA IMS2024,1343900.0,1343900.0,0.0,0.0,EXACT,
FILE2,New Zealand,NZL,2020,foreign_born,World Bank SM.POP.TOTL,1343900.0,1343900.0,0.0,0.0,EXACT,
FILE1,New Zealand,NZL,2010,population,S1 UN WPP2024,4347770.0,4347770.0,0.0,0.0,EXACT,
FILE2,New Zealand,NZL,2010,population,World Bank SP.POP.TOTL,4350700.0,4350700.0,0.0,0.0,EXACT,
FILE1,New Zealand,NZL,2011,population,S1 UN WPP2024,4382700.0,4382700.0,0.0,0.0,EXACT,
FILE2,New Zealand,NZL,2011,population,World Bank SP.POP.TOTL,4384000.0,4384000.0,0.0,0.0,EXACT,
FILE1,New Zealand,NZL,2012,population,S1 UN WPP2024,4411676.0,4411676.0,0.0,0.0,EXACT,
FILE2,New Zealand,NZL,2012,population,World Bank SP.POP.TOTL,4408100.0,4408100.0,0.0,0.0,EXACT,
FILE1,New Zealand,NZL,2013,population,S1 UN WPP2024,4453851.0,4453851.0,0.0,0.0,EXACT,
FILE2,New Zealand,NZL,2013,population,World Bank SP.POP.TOTL,4442100.0,4442100.0,0.0,0.0,EXACT,
FILE1,New Zealand,NZL,2014,population,S1 UN WPP2024,4522983.0,4522983.0,0.0,0.0,EXACT,
FILE2,New Zealand,NZL,2014,population,World Bank SP.POP.TOTL,4516500.0,4516500.0,0.0,0.0,EXACT,
FILE1,New Zealand,NZL,2015,population,S1 UN WPP2024,4614029.0,4614029.0,0.0,0.0,EXACT,
FILE2,New Zealand,NZL,2015,population,World Bank SP.POP.TOTL,4609400.0,4609400.0,0.0,0.0,EXACT,
FILE1,New Zealand,NZL,2016,population,S1 UN WPP2024,4714770.0,4714770.0,0.0,0.0,EXACT,
FILE2,New Zealand,NZL,2016,population,World Bank SP.POP.TOTL,4714100.0,4714100.0,0.0,0.0,EXACT,
FILE1,New Zealand,NZL,2017,population,S1 UN WPP2024,4812752.0,4812752.0,0.0,0.0,EXACT,
FILE2,New Zealand,NZL,2017,population,World Bank SP.POP.TOTL,4813600.0,4813600.0,0.0,0.0,EXACT,
FILE1,New Zealand,NZL,2018,population,S1 UN WPP2024,4900847.0,4900847.0,0.0,0.0,EXACT,
FILE2,New Zealand,NZL,2018,population,World Bank SP.POP.TOTL,4900600.0,4900600.0,0.0,0.0,EXACT,
FILE1,New Zealand,NZL,2019,population,S1 UN WPP2024,4989403.0,4989403.0,0.0,0.0,EXACT,
FILE2,New Zealand,NZL,2019,population,World Bank SP.POP.TOTL,4970300.0,4970300.0,0.0,0.0,EXACT,
FILE1,New Zealand,NZL,2020,population,S1 UN WPP2024,5069895.0,5069895.0,0.0,0.0,EXACT,
FILE2,New Zealand,NZL,2020,population,World Bank SP.POP.TOTL,5072400.0,5072400.0,0.0,0.0,EXACT,
FILE1,New Zealand,NZL,2021,population,S1 UN WPP2024,5107697.0,5107697.0,0.0,0.0,EXACT,
FILE2,New Zealand,NZL,2021,population,World Bank SP.POP.TOTL,5084600.0,5084600.0,0.0,0.0,EXACT,
FILE1,New Zealand,NZL,2022,population,S1 UN WPP2024,5131734.0,5131734.0,0.0,0.0,EXACT,
FILE2,New Zealand,NZL,2022,population,World Bank SP.POP.TOTL,5081700.0,5081700.0,0.0,0.0,EXACT,
