workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Chile,CHL,2010,foreign_born,S2 UN DESA IMS2024,361531.0,361531.0,0.0,0.0,EXACT,
FILE2,Chile,CHL,2010,foreign_born,OECD IMD CHL_B14,352344.0,352344.0,0.0,0.0,EXACT,ok
FILE2,Chile,CHL,2011,foreign_born,OECD IMD CHL_B14,369436.0,369436.0,0.0,0.0,EXACT,ok
FILE2,Chile,CHL,2012,foreign_born,OECD IMD CHL_B14,388229.0,388229.0,0.0,0.0,EXACT,ok
FILE2,Chile,CHL,2013,foreign_born,OECD IMD CHL_B14,415540.0,415540.0,0.0,0.0,EXACT,ok
FILE2,Chile,CHL,2014,foreign_born,OECD IMD CHL_B14,441529.0,441529.0,0.0,0.0,EXACT,ok
FILE1,Chile,CHL,2015,foreign_born,S2 UN DESA IMS2024,598039.0,598039.0,0.0,0.0,EXACT,
FILE2,Chile,CHL,2015,foreign_born,OECD IMD CHL_B14,465319.0,465319.0,0.0,0.0,EXACT,ok
FILE2,Chile,CHL,2017,foreign_born,OECD IMD CHL_B14,746435.0,746435.0,0.0,0.0,EXACT,ok
FILE2,Chile,CHL,2019,foreign_born,OECD IMD CHL_B14,1306859.0,1306859.0,0.0,0.0,EXACT,ok
FILE1,Chile,CHL,2020,foreign_born,S2 UN DESA IMS2024,1476240.0,1476240.0,0.0,0.0,EXACT,
FILE2,Chile,CHL,2020,foreign_born,OECD IMD CHL_B14,1486810.0,1486810.0,0.0,0.0,EXACT,ok
FILE2,Chile,CHL,2021,foreign_born,OECD IMD CHL_B14,1534813.0,1534813.0,0.0,0.0,EXACT,ok
FILE2,Chile,CHL,2022,foreign_born,OECD IMD CHL_B14,1630812.0,1630812.0,0.0,0.0,EXACT,ok
FILE2,Chile,CHL,2017,foreign_nationals,OECD IMD CHL_B15,746465.0,746465.0,0.0,0.0,EXACT,ok
FILE2,Chile,CHL,2018,foreign_nationals,OECD IMD CHL_B15,1306859.0,1306859.0,0.0,0.0,EXACT,ok
FILE2,Chile,CHL,2019,foreign_nationals,OECD IMD CHL_B15,1486810.0,1486810.0,0.0,0.0,EXACT,ok
FILE2,Chile,CHL,2020,foreign_nationals,OECD IMD CHL_B15,1534813.0,1534813.0,0.0,0.0,EXACT,ok
FILE2,Chile,CHL,2021,foreign_nationals,OECD IMD CHL_B15,1630812.0,1630812.0,0.0,0.0,EXACT,ok
FILE2,Chile,CHL,2022,foreign_nationals,OECD IMD CHL_B15,1836137.0,1836137.0,0.0,0.0,EXACT,ok
FILE1,Chile,CHL,2010,population,S1 UN WPP2024,17181464.0,17181464.0,0.0,0.0,EXACT,
FILE2,Chile,CHL,2010,population,World Bank SP.POP.TOTL,17181464.0,17181464.0,0.0,0.0,EXACT,
FILE1,Chile,CHL,2011,population,S1 UN WPP2024,17351816.0,17351816.0,0.0,0.0,EXACT,
FILE2,Chile,CHL,2011,population,World Bank SP.POP.TOTL,17351816.0,17351816.0,0.0,0.0,EXACT,
FILE1,Chile,CHL,2012,population,S1 UN WPP2024,17519119.0,17519119.0,0.0,0.0,EXACT,
FILE2,Chile,CHL,2012,population,World Bank SP.POP.TOTL,17519119.0,17519119.0,0.0,0.0,EXACT,
FILE1,Chile,CHL,2013,population,S1 UN WPP2024,17687006.0,17687006.0,0.0,0.0,EXACT,
FILE2,Chile,CHL,2013,population,World Bank SP.POP.TOTL,17687006.0,17687006.0,0.0,0.0,EXACT,
FILE1,Chile,CHL,2014,population,S1 UN WPP2024,17864195.0,17864195.0,0.0,0.0,EXACT,
FILE2,Chile,CHL,2014,population,World Bank SP.POP.TOTL,17864195.0,17864195.0,0.0,0.0,EXACT,
FILE1,Chile,CHL,2015,population,S1 UN WPP2024,18047625.0,18047625.0,0.0,0.0,EXACT,
FILE2,Chile,CHL,2015,population,World Bank SP.POP.TOTL,18047625.0,18047625.0,0.0,0.0,EXACT,
FILE1,Chile,CHL,2016,population,S1 UN WPP2024,18267221.0,18267221.0,0.0,0.0,EXACT,
FILE2,Chile,CHL,2016,population,World Bank SP.POP.TOTL,18267221.0,18267221.0,0.0,0.0,EXACT,
FILE1,Chile,CHL,2017,population,S1 UN WPP2024,18558868.0,18558868.0,0.0,0.0,EXACT,
FILE2,Chile,CHL,2017,population,World Bank SP.POP.TOTL,18558868.0,18558868.0,0.0,0.0,EXACT,
FILE1,Chile,CHL,2018,population,S1 UN WPP2024,18893191.0,18893191.0,0.0,0.0,EXACT,
FILE2,Chile,CHL,2018,population,World Bank SP.POP.TOTL,18893191.0,18893191.0,0.0,0.0,EXACT,
FILE1,Chile,CHL,2019,population,S1 UN WPP2024,19197744.0,19197744.0,0.0,0.0,EXACT,
FILE2,Chile,CHL,2019,population,World Bank SP.POP.TOTL,19197744.0,19197744.0,0.0,0.0,EXACT,
FILE1,Chile,CHL,2020,population,S1 UN WPP2024,19370624.0,19370624.0,0.0,0.0,EXACT,
FILE2,Chile,CHL,2020,population,World Bank SP.POP.TOTL,19370624.0,19370624.0,0.0,0.0,EXACT,
FILE1,Chile,CHL,2021,population,S1 UN WPP2024,19456334.0,19456334.0,0.0,0.0,EXACT,
FILE2,Chile,CHL,2021,population,World Bank SP.POP.TOTL,19456334.0,19456334.0,0.0,0.0,EXACT,
FILE1,Chile,CHL,2022,population,S1 UN WPP2024,19553036.0,19553036.0,0.0,0.0,EXACT,
FILE2,Chile,CHL,2022,population,World Bank SP.POP.TOTL,19553036.0,19553036.0,0.0,0.0,EXACT,
