workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Turkey,TUR,2010,foreign_born,S2 UN DESA IMS2024,1420433.0,1420433.0,0.0,0.0,EXACT,
FILE2,Turkey,TUR,2014,foreign_born,OECD IMD TUR_B14,1459775.0,1459775.0,0.0,0.0,EXACT,ok
FILE1,Turkey,TUR,2015,foreign_born,S2 UN DESA IMS2024,3750982.0,3750982.0,0.0,0.0,EXACT,
FILE2,Turkey,TUR,2015,foreign_born,OECD IMD TUR_B14,1592437.0,1592437.0,0.0,0.0,EXACT,ok
FILE2,Turkey,TUR,2016,foreign_born,OECD IMD TUR_B14,1777290.0,1777290.0,0.0,0.0,EXACT,ok
FILE2,Turkey,TUR,2017,foreign_born,OECD IMD TUR_B14,1923894.0,1923894.0,0.0,0.0,EXACT,ok
FILE2,Turkey,TUR,2018,foreign_born,OECD IMD TUR_B14,2278490.0,2278490.0,0.0,0.0,EXACT,ok
FILE2,Turkey,TUR,2019,foreign_born,OECD IMD TUR_B14,2668594.0,2668594.0,0.0,0.0,EXACT,ok
FILE1,Turkey,TUR,2020,foreign_born,S2 UN DESA IMS2024,6580295.0,6580295.0,0.0,0.0,EXACT,
FILE2,Turkey,TUR,2020,foreign_born,OECD IMD TUR_B14,2609982.0,2609982.0,0.0,0.0,EXACT,ok
FILE2,Turkey,TUR,2021,foreign_born,OECD IMD TUR_B14,3141351.0,3141351.0,0.0,0.0,EXACT,ok
FILE2,Turkey,TUR,2022,foreign_born,OECD IMD TUR_B14,3242683.0,3242683.0,0.0,0.0,EXACT,ok
FILE2,Turkey,TUR,2010,foreign_nationals,OECD IMD TUR_B15,167344.0,167344.0,0.0,0.0,EXACT,ok
FILE2,Turkey,TUR,2011,foreign_nationals,OECD IMD TUR_B15,190531.0,190531.0,0.0,0.0,EXACT,ok
FILE2,Turkey,TUR,2012,foreign_nationals,OECD IMD TUR_B15,242128.0,242128.0,0.0,0.0,EXACT,ok
FILE2,Turkey,TUR,2013,foreign_nationals,OECD IMD TUR_B15,278664.0,278664.0,0.0,0.0,EXACT,ok
FILE2,Turkey,TUR,2014,foreign_nationals,OECD IMD TUR_B15,456506.0,456506.0,0.0,0.0,EXACT,ok
FILE2,Turkey,TUR,2015,foreign_nationals,OECD IMD TUR_B15,518279.0,518279.0,0.0,0.0,EXACT,ok
FILE2,Turkey,TUR,2016,foreign_nationals,OECD IMD TUR_B15,650308.0,650308.0,0.0,0.0,EXACT,ok
FILE2,Turkey,TUR,2017,foreign_nationals,OECD IMD TUR_B15,816410.0,816410.0,0.0,0.0,EXACT,ok
FILE2,Turkey,TUR,2018,foreign_nationals,OECD IMD TUR_B15,919061.0,919061.0,0.0,0.0,EXACT,ok
FILE2,Turkey,TUR,2019,foreign_nationals,OECD IMD TUR_B15,1211034.0,1211034.0,0.0,0.0,EXACT,ok
FILE2,Turkey,TUR,2020,foreign_nationals,OECD IMD TUR_B15,1531180.0,1531180.0,0.0,0.0,EXACT,ok
FILE2,Turkey,TUR,2021,foreign_nationals,OECD IMD TUR_B15,1792036.0,1792036.0,0.0,0.0,EXACT,ok
FILE2,Turkey,TUR,2022,foreign_nationals,OECD IMD TUR_B15,1823836.0,1823836.0,0.0,0.0,EXACT,ok
FILE1,Turkey,TUR,2010,population,S1 UN WPP2024,73346769.0,73346769.0,0.0,0.0,EXACT,
FILE2,Turkey,TUR,2010,population,World Bank SP.POP.TOTL,73142150.0,73142150.0,0.0,0.0,EXACT,
