workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,Australia,AUS,2010,foreign_born,S2 UN DESA IMS2024,5879802.0,5879802.0,0.0,0.0,EXACT,
FILE2,Australia,AUS,2010,foreign_born,OECD IMD AUS_B14,5881360.0,5881360.0,0.0,0.0,EXACT,ok
FILE2,Australia,AUS,2011,foreign_born,OECD IMD AUS_B14,6018180.0,6018180.0,0.0,0.0,EXACT,ok
FILE2,Australia,AUS,2012,foreign_born,OECD IMD AUS_B14,6214010.0,6214010.0,0.0,0.0,EXACT,ok
FILE2,Australia,AUS,2013,foreign_born,OECD IMD AUS_B14,6408740.0,6408740.0,0.0,0.0,EXACT,ok
FILE2,Australia,AUS,2014,foreign_born,OECD IMD AUS_B14,6570240.0,6570240.0,0.0,0.0,EXACT,ok
FILE1,Australia,AUS,2015,foreign_born,S2 UN DESA IMS2024,6733056.0,6733056.0,0.0,0.0,EXACT,
FILE2,Australia,AUS,2015,foreign_born,OECD IMD AUS_B14,6729730.0,6729730.0,0.0,0.0,EXACT,ok
FILE2,Australia,AUS,2016,foreign_born,OECD IMD AUS_B14,6912110.0,6912110.0,0.0,0.0,EXACT,ok
FILE2,Australia,AUS,2017,foreign_born,OECD IMD AUS_B14,7142030.0,7142030.0,0.0,0.0,EXACT,ok
FILE2,Australia,AUS,2018,foreign_born,OECD IMD AUS_B14,7346520.0,7346520.0,0.0,0.0,EXACT,ok
FILE2,Australia,AUS,2019,foreign_born,OECD IMD AUS_B14,7549660.0,7549660.0,0.0,0.0,EXACT,ok
FILE1,Australia,AUS,2020,foreign_born,S2 UN DESA IMS2024,7604850.0,7604850.0,0.0,0.0,EXACT,
FILE2,Australia,AUS,2020,foreign_born,OECD IMD AUS_B14,7672450.0,7672450.0,0.0,0.0,EXACT,ok
FILE2,Australia,AUS,2021,foreign_born,OECD IMD AUS_B14,7525860.0,7525860.0,0.0,0.0,EXACT,ok
FILE2,Australia,AUS,2022,foreign_born,OECD IMD AUS_B14,7681720.0,7681720.0,0.0,0.0,EXACT,ok
FILE1,Australia,AUS,2010,population,S1 UN WPP2024,22141581.0,22141581.0,0.0,0.0,EXACT,
FILE2,Australia,AUS,2010,population,World Bank SP.POP.TOTL,22031750.0,22031750.0,0.0,0.0,EXACT,
FILE1,Australia,AUS,2011,population,S1 UN WPP2024,22479775.0,22479775.0,0.0,0.0,EXACT,
FILE2,Australia,AUS,2011,population,World Bank SP.POP.TOTL,22340024.0,22340024.0,0.0,0.0,EXACT,
FILE1,Australia,AUS,2012,population,S1 UN WPP2024,22852644.0,22852644.0,0.0,0.0,EXACT,
FILE2,Australia,AUS,2012,population,World Bank SP.POP.TOTL,22733465.0,22733465.0,0.0,0.0,EXACT,
FILE1,Australia,AUS,2013,population,S1 UN WPP2024,23236270.0,23236270.0,0.0,0.0,EXACT,
FILE2,Australia,AUS,2013,population,World Bank SP.POP.TOTL,23128129.0,23128129.0,0.0,0.0,EXACT,
FILE1,Australia,AUS,2014,population,S1 UN WPP2024,23595601.0,23595601.0,0.0,0.0,EXACT,
FILE2,Australia,AUS,2014,population,World Bank SP.POP.TOTL,23475686.0,23475686.0,0.0,0.0,EXACT,
FILE1,Australia,AUS,2015,population,S1 UN WPP2024,23948002.0,23948002.0,0.0,0.0,EXACT,
FILE2,Australia,AUS,2015,population,World Bank SP.POP.TOTL,23815995.0,23815995.0,0.0,0.0,EXACT,
FILE1,Australia,AUS,2016,population,S1 UN WPP2024,24329963.0,24329963.0,0.0,0.0,EXACT,
FILE2,Australia,AUS,2016,population,World Bank SP.POP.TOTL,24190907.0,24190907.0,0.0,0.0,EXACT,
FILE1,Australia,AUS,2017,population,S1 UN WPP2024,24731038.0,24731038.0,0.0,0.0,EXACT,
FILE2,Australia,AUS,2017,population,World Bank SP.POP.TOTL,24592588.0,24592588.0,0.0,0.0,EXACT,
FILE1,Australia,AUS,2018,population,S1 UN WPP2024,25119706.0,25119706.0,0.0,0.0,EXACT,
FILE2,Australia,AUS,2018,population,World Bank SP.POP.TOTL,24963258.0,24963258.0,0.0,0.0,EXACT,
FILE1,Australia,AUS,2019,population,S1 UN WPP2024,25482714.0,25482714.0,0.0,0.0,EXACT,
FILE2,Australia,AUS,2019,population,World Bank SP.POP.TOTL,25334826.0,25334826.0,0.0,0.0,EXACT,
FILE1,Australia,AUS,2020,population,S1 UN WPP2024,25743791.0,25743791.0,0.0,0.0,EXACT,
FILE2,Australia,AUS,2020,population,World Bank SP.POP.TOTL,25649248.0,25649248.0,0.0,0.0,EXACT,
FILE1,Australia,AUS,2021,population,S1 UN WPP2024,25956417.0,25956417.0,0.0,0.0,EXACT,
FILE2,Australia,AUS,2021,population,World Bank SP.POP.TOTL,25685412.0,25685412.0,0.0,0.0,EXACT,
FILE1,Australia,AUS,2022,population,S1 UN WPP2024,26200984.0,26200984.0,0.0,0.0,EXACT,
FILE2,Australia,AUS,2022,population,World Bank SP.POP.TOTL,26018721.0,26018721.0,0.0,0.0,EXACT,
