workbook,country,iso3,year,variable,source,workbook_value,live_source_value,diff,pct_diff,status,note
FILE1,United States,USA,2010,foreign_born,S2 UN DESA IMS2024,43947211.0,43947211.0,0.0,0.0,EXACT,
FILE2,United States,USA,2010,foreign_born,OECD IMD USA_B14,39916875.0,39916875.0,0.0,0.0,EXACT,ok
FILE2,United States,USA,2011,foreign_born,OECD IMD USA_B14,40381570.0,40381570.0,0.0,0.0,EXACT,ok
FILE2,United States,USA,2012,foreign_born,OECD IMD USA_B14,40738224.0,40738224.0,0.0,0.0,EXACT,ok
FILE2,United States,USA,2013,foreign_born,OECD IMD USA_B14,41344354.0,41344354.0,0.0,0.0,EXACT,ok
FILE2,United States,USA,2014,foreign_born,OECD IMD USA_B14,42390705.0,42390705.0,0.0,0.0,EXACT,ok
FILE1,United States,USA,2015,foreign_born,S2 UN DESA IMS2024,47942986.0,47942986.0,0.0,0.0,EXACT,
FILE2,United States,USA,2015,foreign_born,OECD IMD USA_B14,43289646.0,43289646.0,0.0,0.0,EXACT,ok
FILE2,United States,USA,2016,foreign_born,OECD IMD USA_B14,43738901.0,43738901.0,0.0,0.0,EXACT,ok
FILE2,United States,USA,2017,foreign_born,OECD IMD USA_B14,44525458.0,44525458.0,0.0,0.0,EXACT,ok
FILE2,United States,USA,2018,foreign_born,OECD IMD USA_B14,44728502.0,44728502.0,0.0,0.0,EXACT,ok
FILE2,United States,USA,2019,foreign_born,OECD IMD USA_B14,44932799.0,44932799.0,0.0,0.0,EXACT,ok
FILE1,United States,USA,2020,foreign_born,S2 UN DESA IMS2024,50471028.0,50471028.0,0.0,0.0,EXACT,
FILE2,United States,USA,2020,foreign_born,OECD IMD USA_B14,44258250.0,44258250.0,0.0,0.0,EXACT,ok
FILE2,United States,USA,2021,foreign_born,OECD IMD USA_B14,45272945.0,45272945.0,0.0,0.0,EXACT,ok
FILE2,United States,USA,2022,foreign_born,OECD IMD USA_B14,47331480.0,47331480.0,0.0,0.0,EXACT,ok
FILE2,United States,USA,2010,foreign_nationals,OECD IMD USA_B15,21640993.0,21640993.0,0.0,0.0,EXACT,ok
FILE2,United States,USA,2011,foreign_nationals,OECD IMD USA_B15,22225536.0,22225536.0,0.0,0.0,EXACT,ok
FILE2,United States,USA,2012,foreign_nationals,OECD IMD USA_B15,22114981.0,22114981.0,0.0,0.0,EXACT,ok
FILE2,United States,USA,2013,foreign_nationals,OECD IMD USA_B15,22016426.0,22016426.0,0.0,0.0,EXACT,ok
FILE2,United States,USA,2014,foreign_nationals,OECD IMD USA_B15,21325130.0,21325130.0,0.0,0.0,EXACT,ok
FILE2,United States,USA,2015,foreign_nationals,OECD IMD USA_B15,22236160.0,22236160.0,0.0,0.0,EXACT,ok
FILE2,United States,USA,2016,foreign_nationals,OECD IMD USA_B15,22824242.0,22824242.0,0.0,0.0,EXACT,ok
FILE2,United States,USA,2017,foreign_nationals,OECD IMD USA_B15,22758740.0,22758740.0,0.0,0.0,EXACT,ok
FILE2,United States,USA,2018,foreign_nationals,OECD IMD USA_B15,22941910.0,22941910.0,0.0,0.0,EXACT,ok
FILE2,United States,USA,2019,foreign_nationals,OECD IMD USA_B15,22518810.0,22518809.52,0.4800000004470348,2.131551403819658e-06,EXACT,ok
FILE2,United States,USA,2020,foreign_nationals,OECD IMD USA_B15,21433675.0,21433675.3,-0.300000000745058,-1.399666629945906e-06,EXACT,ok
FILE2,United States,USA,2021,foreign_nationals,OECD IMD USA_B15,22164662.0,22164661.53,0.4699999988079071,2.120492560519182e-06,EXACT,ok
FILE2,United States,USA,2022,foreign_nationals,OECD IMD USA_B15,23825209.0,23825209.06,-0.0599999986588954,-2.518340909739556e-07,EXACT,ok
FILE1,United States,USA,2010,population,S1 UN WPP2024,311062790.0,311062790.0,0.0,0.0,EXACT,
FILE2,United States,USA,2010,population,World Bank SP.POP.TOTL,309378227.0,309378227.0,0.0,0.0,EXACT,
FILE1,United States,USA,2011,population,S1 UN WPP2024,314105078.0,314105078.0,0.0,0.0,EXACT,
FILE2,United States,USA,2011,population,World Bank SP.POP.TOTL,311839461.0,311839461.0,0.0,0.0,EXACT,
FILE1,United States,USA,2012,population,S1 UN WPP2024,317115355.0,317115355.0,0.0,0.0,EXACT,
FILE2,United States,USA,2012,population,World Bank SP.POP.TOTL,314339099.0,314339099.0,0.0,0.0,EXACT,
FILE1,United States,USA,2013,population,S1 UN WPP2024,320110759.0,320110759.0,0.0,0.0,EXACT,
FILE2,United States,USA,2013,population,World Bank SP.POP.TOTL,316726282.0,316726282.0,0.0,0.0,EXACT,
FILE1,United States,USA,2014,population,S1 UN WPP2024,323115377.0,323115377.0,0.0,0.0,EXACT,
FILE2,United States,USA,2014,population,World Bank SP.POP.TOTL,319257560.0,319257560.0,0.0,0.0,EXACT,
FILE1,United States,USA,2015,population,S1 UN WPP2024,326126497.0,326126497.0,0.0,0.0,EXACT,
FILE2,United States,USA,2015,population,World Bank SP.POP.TOTL,321815121.0,321815121.0,0.0,0.0,EXACT,
FILE1,United States,USA,2016,population,S1 UN WPP2024,329179427.0,329179427.0,0.0,0.0,EXACT,
FILE2,United States,USA,2016,population,World Bank SP.POP.TOTL,324353340.0,324353340.0,0.0,0.0,EXACT,
FILE1,United States,USA,2017,population,S1 UN WPP2024,332204660.0,332204660.0,0.0,0.0,EXACT,
FILE2,United States,USA,2017,population,World Bank SP.POP.TOTL,326608609.0,326608609.0,0.0,0.0,EXACT,
FILE1,United States,USA,2018,population,S1 UN WPP2024,335056497.0,335056497.0,0.0,0.0,EXACT,
FILE2,United States,USA,2018,population,World Bank SP.POP.TOTL,328529577.0,328529577.0,0.0,0.0,EXACT,
FILE1,United States,USA,2019,population,S1 UN WPP2024,337790067.0,337790067.0,0.0,0.0,EXACT,
FILE2,United States,USA,2019,population,World Bank SP.POP.TOTL,330226227.0,330226227.0,0.0,0.0,EXACT,
FILE1,United States,USA,2020,population,S1 UN WPP2024,339436159.0,339436159.0,0.0,0.0,EXACT,
FILE2,United States,USA,2020,population,World Bank SP.POP.TOTL,331578104.0,331578104.0,0.0,0.0,EXACT,
FILE1,United States,USA,2021,population,S1 UN WPP2024,340161441.0,340161441.0,0.0,0.0,EXACT,
FILE2,United States,USA,2021,population,World Bank SP.POP.TOTL,332100166.0,332100166.0,0.0,0.0,EXACT,
FILE1,United States,USA,2022,population,S1 UN WPP2024,341534046.0,341534046.0,0.0,0.0,EXACT,
FILE2,United States,USA,2022,population,World Bank SP.POP.TOTL,333996304.0,333996304.0,0.0,0.0,EXACT,
